producto_id,familia,categoria,subfamilia_slug,nombre,referencia,precio_eur,gama_marca,grosor_nm,cabos,formato,longitud_m,contenido_cantidad,contenido_unidad,color_nombre,color_codigo,cremallera_maya,cremallera_material,cremallera_tipo,cremallera_largo_cm,ancho_mm,acabado,aguja_sistema,aguja_calibre,soporte,es_pack,unidades_pack,es_outlet,eje_variedad,kits,n_kits,kit_a_marroquineria,kit_b_tapiceria,kit_c_bolsos,kit_d_costura_tecnica,kit_e_bordado,kit_f_acabado,url
55-R+2066-9999999007705,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA GUARNICIONERO SIN PUNTA Nº000 - 80 MM,R-2066,0.36,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/55-R+2066-9999999007705.html
1196-R+43316-9999999002250,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA GUARNICIONERO SIN PUNTA Nº1 - 60 MM,R-43316,0.27,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1196-R+43316-9999999002250.html
1188-R+43307-9999999026003,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA DOS PUNTAS 20CMS,R-43307,10.41,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1188-R+43307-9999999026003.html
1189-R+43308-9999999026010,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA DOS PUNTAS 25CMS,R-43308,12.74,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1189-R+43308-9999999026010.html
1190-R+43309-9999999026027,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA DOS PUNTAS 30CMS,R-43309,14.65,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1190-R+43309-9999999026027.html
1191-R+43310-9999999026034,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA DOS PUNTAS 35CMS,R-43310,18.26,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1191-R+43310-9999999026034.html
1192-R+43311-9999999026041,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA DOS PUNTAS 40CMS,R-43311,21.38,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1192-R+43311-9999999026041.html
1184-R+3678-9999999013744,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA UNA PUNTA 10CMS,R-3678,3.88,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1184-R+3678-9999999013744.html
1185-R+43313-9999999015595,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA UNA PUNTA 15CMS,R-43313,5.28,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1185-R+43313-9999999015595.html
1186-R+43314-9999999017537,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA UNA PUNTA 20CMS,R-43314,7.07,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1186-R+43314-9999999017537.html
