familia,categoria,slug,nombre,referencia,precio_eur,url
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA SAQUERA 20CMS,R-43306,7.12,https://canodiy.es/coser-a-mano/1195-R+43306-9999999007323.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJAS COSER A MANO PAQUETE (20U.) 102116.006,R-44258,2.66,https://canodiy.es/coser-a-mano/2767-R+44258-9999999029776.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER  328LR  230/26,R-20307,9.74,https://canodiy.es/coser-a-maquina/50-R+20307-9999999029356.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134  85/13,R-1344,3.07,https://canodiy.es/coser-a-maquina/329-R+1344-9999999027819.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134 R 160/23,R-25546,3.07,https://canodiy.es/coser-a-maquina/2947-R+25546-9999999027710.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35(R)  110/18,R-12245,4.54,https://canodiy.es/coser-a-maquina/308-R+12245-9999999029226.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35(R)  120/19,R-12056,4.54,https://canodiy.es/coser-a-maquina/312-R+12056-9999999029240.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35(R)  130/21,R-745,4.54,https://canodiy.es/coser-a-maquina/314-R+745-9999999029264.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35D  110/18,R-22417,4.94,https://canodiy.es/coser-a-maquina/299-R+22417-9999999029011.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35D  120/19,R-1284,4.94,https://canodiy.es/coser-a-maquina/284-R+1284-9999999029028.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35D  90/14,R-3342,4.94,https://canodiy.es/coser-a-maquina/46-R+3342-9999999029004.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR  100/16,R-664,4.94,https://canodiy.es/coser-a-maquina/304-R+664-9999999029035.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR  110/18,R-32081,4.94,https://canodiy.es/coser-a-maquina/482-R+32081-9999999029059.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR  130/21,R-283,4.94,https://canodiy.es/coser-a-maquina/302-R+283-9999999029103.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR  70/10,R-25547,4.94,https://canodiy.es/coser-a-maquina/47-R+25547-9999999029189.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR  80/12,R-2085,4.94,https://canodiy.es/coser-a-maquina/300-R+2085-9999999029196.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR  90/14,R-12540,4.94,https://canodiy.es/coser-a-maquina/303-R+12540-9999999029165.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR 140/22,R-2086,4.94,https://canodiy.es/coser-a-maquina/301-R+2086-9999999029127.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35R 100/16,R-2089,4.54,https://canodiy.es/coser-a-maquina/48-R+2089-9999999029202.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  100/16,R-1282,4.94,https://canodiy.es/coser-a-maquina/327-R+1282-9999999026232.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  110/18,R-1283,4.94,https://canodiy.es/coser-a-maquina/326-R+1283-9999999026331.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  130/21,R-1285,4.94,https://canodiy.es/coser-a-maquina/285-R+1285-9999999026263.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  70/10,R-1286,4.94,https://canodiy.es/coser-a-maquina/41-R+1286-9999999026324.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  80/12,R-1287,4.94,https://canodiy.es/coser-a-maquina/328-R+1287-9999999026287.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  85/13,R-8499,4.94,https://canodiy.es/coser-a-maquina/286-R+8499-9999999026317.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  90/14,R-1288,4.94,https://canodiy.es/coser-a-maquina/323-R+1288-9999999026294.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134LR  110/18,R-2070,4.94,https://canodiy.es/coser-a-maquina/288-R+2070-9999999026515.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134LR  120/19,R-24901,4.94,https://canodiy.es/coser-a-maquina/289-R+24901-9999999026539.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134LR  130/21,R-2071,4.94,https://canodiy.es/coser-a-maquina/319-R+2071-9999999026546.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134LR  140/22,R-2072,4.94,https://canodiy.es/coser-a-maquina/290-R+2072-9999999026560.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134LR  70/10,R-15483,4.94,https://canodiy.es/coser-a-maquina/43-R+15483-9999999026683.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134LR  90/14,R-15500,4.94,https://canodiy.es/coser-a-maquina/291-R+15500-9999999026638.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL  110/18,R-1329,4.94,https://canodiy.es/coser-a-maquina/293-R+1329-9999999027505.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL  120/19,R-10787,4.94,https://canodiy.es/coser-a-maquina/294-R+10787-9999999027512.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL  65/9,R-1330,4.94,https://canodiy.es/coser-a-maquina/307-R+1330-9999999027482.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL  70/10,R-1331,4.94,https://canodiy.es/coser-a-maquina/309-R+1331-9999999027529.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL  75/11,R-1332,4.94,https://canodiy.es/coser-a-maquina/295-R+1332-9999999027475.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL  90/14,R-1334,4.94,https://canodiy.es/coser-a-maquina/297-R+1334-9999999027451.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PCL 100/16,R-1328,4.94,https://canodiy.es/coser-a-maquina/292-R+1328-9999999027499.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134PLC  80/12,R-1333,4.94,https://canodiy.es/coser-a-maquina/296-R+1333-9999999027468.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  100/16,R-1335,3.07,https://canodiy.es/coser-a-maquina/318-R+1335-9999999027635.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  110/18,R-1336,3.07,https://canodiy.es/coser-a-maquina/298-R+1336-9999999027659.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  120/19,R-1337,3.07,https://canodiy.es/coser-a-maquina/321-R+1337-9999999027673.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  130/21,R-1338,3.07,https://canodiy.es/coser-a-maquina/325-R+1338-9999999027697.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  140/22,R-1339,3.07,https://canodiy.es/coser-a-maquina/315-R+1339-9999999027703.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  60/8,R-5933,3.07,https://canodiy.es/coser-a-maquina/44-R+5933-9999999027727.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  65/9,R-1340,3.07,https://canodiy.es/coser-a-maquina/320-R+1340-9999999027734.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  70/10,R-1341,3.07,https://canodiy.es/coser-a-maquina/322-R+1341-9999999027758.html
